"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US05085","Lonoke County, Arkansas","142500","3319"
"0500000US05087","Madison County, Arkansas","120400","13290"
"0500000US05089","Marion County, Arkansas","120700","7047"
"0500000US05091","Miller County, Arkansas","109100","6692"
"0500000US05093","Mississippi County, Arkansas","84500","4007"
"0500000US05095","Monroe County, Arkansas","61400","6145"
"0500000US05097","Montgomery County, Arkansas","102800","9582"
"0500000US05099","Nevada County, Arkansas","66300","4497"
"0500000US05101","Newton County, Arkansas","114700","5837"
"0500000US05103","Ouachita County, Arkansas","75300","5115"
"0500000US05105","Perry County, Arkansas","106300","6962"
"0500000US05107","Phillips County, Arkansas","70700","6741"
"0500000US05109","Pike County, Arkansas","84900","4198"
"0500000US05111","Poinsett County, Arkansas","78800","4186"
"0500000US05113","Polk County, Arkansas","99300","11350"
"0500000US05115","Pope County, Arkansas","126400","5439"
"0500000US05117","Prairie County, Arkansas","67400","5392"
"0500000US05119","Pulaski County, Arkansas","157200","2257"
"0500000US05121","Randolph County, Arkansas","87200","6617"
"0500000US05123","St. Francis County, Arkansas","64600","3929"
"0500000US05125","Saline County, Arkansas","156800","3381"
"0500000US05127","Scott County, Arkansas","76300","6360"
"0500000US05129","Searcy County, Arkansas","103500","11746"
"0500000US05131","Sebastian County, Arkansas","123100","3791"
"0500000US05133","Sevier County, Arkansas","84300","9145"
"0500000US05135","Sharp County, Arkansas","80700","4303"
"0500000US05137","Stone County, Arkansas","121100","21682"
"0500000US05139","Union County, Arkansas","86500","4672"
"0500000US05141","Van Buren County, Arkansas","101700","8634"
"0500000US05143","Washington County, Arkansas","173400","3675"
"0500000US05145","White County, Arkansas","120100","4714"
"0500000US05147","Woodruff County, Arkansas","66400","3494"
"0500000US05149","Yell County, Arkansas","109400","6885"
"0500000US06001","Alameda County, California","769300","4915"
"0500000US06003","Alpine County, California","365300","35223"
"0500000US06005","Amador County, California","313700","10719"
"0500000US06007","Butte County, California","271700","5529"
"0500000US06009","Calaveras County, California","319500","12741"
"0500000US06011","Colusa County, California","265200","14698"
"0500000US06013","Contra Costa County, California","625800","3627"
"0500000US06015","Del Norte County, California","218800","14461"
"0500000US06017","El Dorado County, California","460900","5955"
"0500000US06019","Fresno County, California","255000","2340"
"0500000US06021","Glenn County, California","233200","11585"
"0500000US06023","Humboldt County, California","313200","6151"
"0500000US06025","Imperial County, California","195800","6460"
"0500000US06027","Inyo County, California","269100","14554"
"0500000US06029","Kern County, California","213900","2364"
"0500000US06031","Kings County, California","215900","4963"
"0500000US06033","Lake County, California","219400","9705"
"0500000US06035","Lassen County, California","203000","8968"
"0500000US06037","Los Angeles County, California","583200","1605"
"0500000US06039","Madera County, California","251200","6261"
"0500000US06041","Marin County, California","995800","11616"
"0500000US06043","Mariposa County, California","275700","13368"
"0500000US06045","Mendocino County, California","377500","8677"
"0500000US06047","Merced County, California","252700","4581"
"0500000US06049","Modoc County, California","140600","22138"
"0500000US06051","Mono County, California","312500","40795"
"0500000US06053","Monterey County, California","516600","12283"
"0500000US06055","Napa County, California","635900","8068"
"0500000US06057","Nevada County, California","431000","9513"
"0500000US06059","Orange County, California","679300","2132"
"0500000US06061","Placer County, California","471500","3488"
"0500000US06063","Plumas County, California","242300","12581"
"0500000US06065","Riverside County, California","350100","1506"
"0500000US06067","Sacramento County, California","351900","1429"
"0500000US06069","San Benito County, California","551500","16149"
"0500000US06071","San Bernardino County, California","328200","2005"
"0500000US06073","San Diego County, California","563700","2599"
"0500000US06075","San Francisco County, California","1097800","9894"
"0500000US06077","San Joaquin County, California","342100","3031"
"0500000US06079","San Luis Obispo County, California","574000","7158"
"0500000US06081","San Mateo County, California","1089400","8935"
"0500000US06083","Santa Barbara County, California","577400","12923"
"0500000US06085","Santa Clara County, California","984000","5593"
