metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
33874,"Montgomery County-Bucks County-Chester County, PA",1970189.0,18507,Metropolitan Division,AAPI,1809.0,1674.0,135.0,True,Statistically significant disparity,1.6
42540,"Scranton--Wilkes-Barre, PA",555642.0,2413,Metropolitan Statistical Area,Black,30.0,21.0,9.0,False,No results,
42540,"Scranton--Wilkes-Barre, PA",555642.0,2413,Metropolitan Statistical Area,Latino,212.0,175.0,37.0,False,No results,
42540,"Scranton--Wilkes-Barre, PA",555642.0,2413,Metropolitan Statistical Area,Native American,3.0,3.0,0.0,False,No results,
42540,"Scranton--Wilkes-Barre, PA",555642.0,2413,Metropolitan Statistical Area,AAPI,66.0,62.0,4.0,False,No results,
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205.0,16818,Metropolitan Division,Black,2382.0,1942.0,440.0,True,Doesn't meet level of disparity,1.4
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205.0,16818,Metropolitan Division,Latino,5392.0,4686.0,706.0,False,Not statistically significant,1.1
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205.0,16818,Metropolitan Division,Native American,28.0,23.0,5.0,False,Not statistically significant,1.4
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205.0,16818,Metropolitan Division,AAPI,779.0,663.0,116.0,False,Not statistically significant,1.2
44300,"State College, PA",161960.0,1009,Metropolitan Statistical Area,Black,12.0,12.0,0.0,False,No results,
44300,"State College, PA",161960.0,1009,Metropolitan Statistical Area,Latino,18.0,17.0,1.0,False,No results,
44300,"State College, PA",161960.0,1009,Metropolitan Statistical Area,Native American,3.0,2.0,1.0,False,No results,
44300,"State College, PA",161960.0,1009,Metropolitan Statistical Area,AAPI,58.0,53.0,5.0,False,No results,
36740,"Orlando-Kissimmee-Sanford, FL",2508970.0,24316,Metropolitan Statistical Area,Black,1582.0,1369.0,213.0,True,Statistically significant disparity,1.5
36740,"Orlando-Kissimmee-Sanford, FL",2508970.0,24316,Metropolitan Statistical Area,Latino,5256.0,4564.0,692.0,True,Doesn't meet level of disparity,1.4
36740,"Orlando-Kissimmee-Sanford, FL",2508970.0,24316,Metropolitan Statistical Area,Native American,73.0,59.0,14.0,False,Not enough applications,2.8
36740,"Orlando-Kissimmee-Sanford, FL",2508970.0,24316,Metropolitan Statistical Area,AAPI,1686.0,1497.0,189.0,True,Doesn't meet level of disparity,1.3
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610.0,5950,Metropolitan Statistical Area,Black,157.0,137.0,20.0,False,Not statistically significant,1.8
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610.0,5950,Metropolitan Statistical Area,Latino,569.0,503.0,66.0,False,Not statistically significant,1.3
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610.0,5950,Metropolitan Statistical Area,Native American,13.0,10.0,3.0,False,Not statistically significant,2.2
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610.0,5950,Metropolitan Statistical Area,AAPI,282.0,255.0,27.0,False,Not statistically significant,1.5
35840,"North Port-Sarasota-Bradenton, FL",803709.0,10086,Metropolitan Statistical Area,Black,192.0,170.0,22.0,True,Statistically significant disparity,1.8
35840,"North Port-Sarasota-Bradenton, FL",803709.0,10086,Metropolitan Statistical Area,Latino,702.0,605.0,97.0,True,Statistically significant disparity,1.8
35840,"North Port-Sarasota-Bradenton, FL",803709.0,10086,Metropolitan Statistical Area,Native American,18.0,13.0,5.0,False,Not statistically significant,2.6
35840,"North Port-Sarasota-Bradenton, FL",803709.0,10086,Metropolitan Statistical Area,AAPI,232.0,206.0,26.0,True,Statistically significant disparity,1.8
12580,"Baltimore-Columbia-Towson, MD",2796733.0,22086,Metropolitan Statistical Area,Black,2322.0,2085.0,237.0,True,Statistically significant disparity,2.4
12580,"Baltimore-Columbia-Towson, MD",2796733.0,22086,Metropolitan Statistical Area,Latino,1018.0,938.0,80.0,True,Statistically significant disparity,1.7
12580,"Baltimore-Columbia-Towson, MD",2796733.0,22086,Metropolitan Statistical Area,Native American,54.0,48.0,6.0,False,Not statistically significant,1.5
