variable_name,pseudo_rsquared,coefficient,standard_error,z_value,p_value,odds_ratio
white_cat2,0.22555665419475135,0.09038507368299033,0.007398599236698009,12.216511638401588,2.537408481883551e-34,1.0945957025599178
white_cat3,0.22555665419475135,0.19090360104548354,0.009691228247477314,19.698597140685123,2.216775969931295e-86,1.2103427706797072
white_cat4,0.22555665419475135,0.35039667957600135,0.012194116391213074,28.734897087622745,1.398828910204424e-181,1.4196305753699792
metro_90th,0.22555665419475135,-0.14998514079916633,0.009517653398159371,-15.758626052528044,5.99215640096743e-56,0.8607207659527595
metro_80th,0.22555665419475135,-0.18202793819386004,0.011245841131167415,-16.186244858944043,6.306147165861943e-59,0.8335780514252125
metro_70th,0.22555665419475135,-0.20866922028903767,0.013200861341658087,-15.807242791842542,2.773417877237541e-56,0.8116636731193215
metro_60th,0.22555665419475135,-0.15719044782788913,0.015691142872366073,-10.017781949122378,1.2732832256156528e-23,0.8545412977854298
metro_50th,0.22555665419475135,-0.22263798598623386,0.018319605291824796,-12.152990331379412,5.530508726211668e-34,0.8004045545181326
metro_40th,0.22555665419475135,-0.3254619773708246,0.02159731123594662,-15.069559993612762,2.568177034496549e-51,0.7221936394450267
metro_30th,0.22555665419475135,-0.24001679109345486,0.023139396283958065,-10.37264707117066,3.302475601593921e-25,0.7866146528355147
metro_20th,0.22555665419475135,-0.19094256812499033,0.026379420085693613,-7.238315607572605,4.5429130461355536e-13,0.8261800358572303
metro_10th,0.22555665419475135,-0.2650855533661315,0.02944067065103066,-9.00405960544419,2.175219717085985e-19,0.7671403157319744
metro_less10th,0.22555665419475135,-0.23061628205798754,0.034884685794089335,-6.610817234222068,3.822041241650837e-11,0.7940440965520036
micro_area,0.22555665419475135,0.005027734699939884,0.015430485346568814,0.3258312740666885,0.74455201555868,1.005040394966641
metro_none,0.22555665419475135,0.25099889425806643,0.018365841106601607,13.666615800560574,1.6069671111438427e-42,1.2853086631107231
